Sample,Weight,%C,δ13C
Acidified_E1_A,25,1.54,-18.74
Acidified_E1_A,30,1.44,-18.72
Acidified_E1_A,12,1.46,-18.56
Acidified_E1_A,25,1.46,-18.56
Acidified_E3_I,25,1.84,-16.08
Acidified_S3_B,25,1.53,-17.36
Acidified_S3_C,25,1.59,-17.02
Acidified_SS1_G,25,1.67,-16.17
Oven_dried_E1_A,25,1.57,-19.98
Oven_dried_E1_A,30,1.48,-18.32
Oven_dried_E1_A,12,1.49,-18.57
Oven_dried_E1_A,25,1.49,-18.57
Oven_dried_E3_I,25,1.87,-15.78
Oven_dried_S3_B,25,1.52,-17.20
Oven_dried_S3_C,25,1.96,-17.05
Oven_dried_SS1_G,25,1.93,-16.12
Unaltered_E1_A,25,1.51,-18.48
Unaltered_E1_A,30,1.57,-18.70
Unaltered_E1_A,12,1.53,-18.36
Unaltered_E1_A,25,1.53,-18.36
Unaltered_E3_I,25,2.01,-15.87
Unaltered_S3_B,25,1.76,-17.40
Unaltered_S3_C,25,1.66,-17.05
Unaltered_SS1_G,25,1.98,-15.91
