euid,siteid,treatmentid,sitecode,eucode,State,ACE_mg/g,%OM_LOI,CO2_24hr,M3_Al,M3_As,M3_B,M3_Ba,AA_Ca,M3_Ca,M3_Cd,Texture_Class,M3_Co,M3_Cr,DTPA_Cu,M3_Cu,Salts_mmho/cm,DTPA_Fe,M3_Fe,AA_K,M3_K,AA_Mg,M3_Mg,DTPA_Mn,M3_Mn,M3_Mo,AA_Na,M3_Na,M3_Ni,M3_P,Olsen_P,M3_Pb,pH,M3_S,b_soc,C%_dry_combustion,N%_dry_combustion,DTPA_Zn,M3_Zn,ECEC,C_Mineralization_Pot,OC_H2O_mg/kg,H3A_IN_ppm,H3A_IP_mg/kg,H3A_NH4_mg/kg,H3A_NO3_mg/kg,H3A_OP_mg/kg,H3A_TP_mg/kg,H3A_ICAPAl,H3A_ICAPCa,H3A_ICAPCu,H3A_ICAPFe,H3A_ICAPK,H3A_ICAPMg,H3A_ICAPMn,H3A_ICAPNa,H3A_ICAPS,H3A_ICAPZn,%OM_LOI2,Buffer_pH,WEN_mg/kg,WEON_mg/kg
294,34,144,USAL01,USAL01001,Alabama,5.385084796,1.5924081822408191,35.78893429,584.765,0.13016,0.24264,7.61441,,594.892,0.05,sand loam,0.21209,,,8.33354,0.0561,,103.211,,120.231,,63.8999,,23.3077,,,1.14611,0.26219,197.696,,2.51582,5.31,15.97517,1.23081,1.23081,0.11605,,11.6441,3.820231767,15.5556,73,4.6,41.7,1.7,2.8,1.8,43,130,287,0.94,52,59,47,3.7,13,1.6,3.61,2.3,6.6,8.9,5.2
286,34,142,USAL01,USAL01002,Alabama,5.080453796,1.4687179487179463,21.27990688,622.556,,0.32322,4.32586,,137.886,0.05,sand loam,0.15435,2.72123,,2.22792,0.0449,,93.8848,,64.7654,,24.6085,,9.80345,,,1.46036,0.43394,69.7655,,2.63267,4.22,14.82687,1.39256,1.39256,0.11823,,1.6204,1.066975609,13.049999999999999,76,2.8,8.9,1,1.8,2.3,11,161,67,0.27,55,27,18,3.1,11,2.6,0.54,2.8,6.1,7.7,5.6
278,34,140,USAL01,USAL01003,Alabama,5.452833304,1.8060110803324294,41.59254526,575.252,0.12459,0.2911,7.13689,,664.088,0.05,sand loam,0.18291,,,9.03549,0.0969,,107.866,,126.283,,86.5701,,21.8651,,,1.41171,0.2378,235.179,,2.43636,5.55,16.84087,1.06525,1.06525,0.10991,,13.1381,4.371800752,20.6016,77,4.3,62.6,1.6,2.7,0.7,63,103,329,0.98,40,58,61,2.7,10,1.6,4.22,2.7,6.7,11.9,8.8
270,34,138,USAL01,USAL01004,Alabama,5.095833051,1.4470483948251018,33.8543973,579.122,,0.46571,5.6946,,507.129,0.05,sand loam,0.16304,1.88106,,1.41913,0.0923,,93.7186,,73.9441,,99.859,,12.5366,,,1.49309,0.13694,141.461,,2.77279,5.34,14.97587,0.96898,0.96898,0.09859,,2.19103,3.563899856,15.137999999999998,71,8.5,23.4,5.2,3.3,1.4,25,131,230,0.09,45,37,65,2,10,1.8,0.61,2.6,6.6,12.4,5.8
274,34,139,USAL01,USAL01005,Alabama,4.291260065,1.174011461318045,31.43622607,534.536,0.1365,0.39225,6.36226,,394.141,0.05,sand loam,0.13722,1.18857,,5.75313,0.0688,,180.313,,98.5946,,47.4735,,18.3778,,,1.35162,0.22207,184.648,,2.2319,5.36,12.79967,1.11272,1.11272,0.1023,,7.11189,2.625005141,18.548399999999997,65,4.2,33.5,2.2,2,2.7,36,102,200,1.03,63,46,36,3.3,11,1.5,2.48,2,6.7,8.9,6.4
266,34,137,USAL01,USAL01006,Alabama,3.661883602,0.9832883967260333,29.01805483,548.252,0.14334,0.22011,5.57692,,302.698,0.05,sand loam,0.13521,,,1.42877,0.0503,,145.501,,56.0155,,55.474,,13.2236,,,0.375,0.13693,105.698,,2.45838,5.17,11.23177,0.72271,0.72271,0.0691,,1.55588,2.121040016,16.6344,59,4.3,15.8,2.1,2.2,2.1,18,118,143,0.23,62,22,38,2.7,11,1.4,0.52,1.7,6.6,8.2,3.9
282,34,141,USAL01,USAL01007,Alabama,3.645126487,1.0034801762114698,25.6326151,501.369,0.15261,0.22418,4.98214,,302.443,0.05,sand loam,0.13106,,,1.71842,0.0433,,166.264,,38.8308,,51.6071,,13.4235,,,0.375,0.13298,64.703,,2.28843,5.21,11.22887,0.8424,0.8424,0.07634,,1.60003,2.043476921,10.3704,67,1.7,6.9,0.3,1.3,2.7,10,104,149,0.24,72,14,38,2.9,11,1.5,0.45,2,6.7,7,5.6
290,34,143,USAL01,USAL01008,Alabama,4.960383912,1.1738286235186743,34.33803155,548.392,0.18803,0.32015,6.08667,,437.158,0.05,sand loam,0.14854,,,6.82625,0.0546,,230.864,,80.3934,,46.7546,,21.767,,,1.10797,0.23233,208.827,,2.3591,5.07,13.90277,1.13968,1.13968,0.10215,,8.99154,2.786374362,15.3468,74,2.3,40.4,0.1,2.2,2.6,43,89,229,1.18,78,31,36,5,13,1.7,3.27,2.2,6.6,7.9,5.2
291,34,143,USAL01,USAL01009,Alabama,4.239531152,1.0913627992633352,29.01805483,537.236,0.17516,0.29217,5.87852,,430.07,0.05,sand loam,0.14771,,,6.3302,0.0549,,202.416,,69.785,,46.266,,21.4124,,,1.23773,0.22571,201.976,,2.25312,5.28,13.07297,0.89676,0.89676,0.08707,,8.08189,2.72022258,16.147199999999998,63,1.5,42.4,0.1,1.4,2.2,45,91,242,1.17,67,28,39,3.8,12,1.5,3.02,2.1,6.7,7.7,6.4
283,34,141,USAL01,USAL01010,Alabama,4.782854586,1.2018181818181801,36.27256854,543.213,0.15913,0.35423,4.97163,,293.54,0.05,sand loam,0.14508,1.4447,,1.83735,0.055,,182.097,,51.4429,,44.6717,,15.366,,,1.40968,0.15157,97.6744,,2.20901,4.99,13.12407,1.17496,1.17496,0.10241,,2.1682,1.978008315,11.971199999999998,66,2.2,11,0.5,1.7,2.5,14,89,149,0.29,69,16,33,3.7,11,1.5,0.73,2,6.6,6,4.1
