Lab No,Crop 2023,Planting Method,Tillage,Soil Type,Cover Crop,Crop_Diversity,Grazing,Fertilization,Lime,Longtitude,Latitude,Field,Sample_ID,Season,Date_Rept,B_Depth,E_Depth,pH,Buffer_pH,Salts,Excess_Lime,OM%,AA_K,M3_S,DTPA_Zn,M3_Fe,DTPA_Mn,DTPA_Cu,AA_Ca,AA_Mg,AA_Na,CEC,%Hsat,%Ksat,%Casat,%Mgsat,%Nasat,M3_P,NO3_N_H2O,OC_H2O_mg/kg,ON_H2O_mg/kg,CN_H2O,,Aggstab1_2mm,BulkAgStab1_2mm,NH4_N_H2O,CO2_24hr,WSA_Mod,N_H2O,SoilHealth,%MAC,ON_release_ppm,ON_reserve_ppm,H3A_NO3,H3A_NH4,H3A_IN,H3A_P,H3A_IP,H3A_OP,H3A_ICAPK,H3A_ICAPCa,H3A_ICAPAl,H3A_ICAPFe,H3A_ICAPS,H3A_ICAPZn,H3A_ICAPMn,H3ACu,H3A_ICAPMg,H3A_ICAPNa,Biomass,Diversity_Index,Bacteria%,TotalBacteriabiomass,Actinomycetes%,Actinomycetes_Biomass,Gram_neg%,Gram_neg_biomass,Rhizobia%,Rhizobia_Biomass,TotalFungi%,Total_Fungi_Biomass,Arbuscular_Myc%,Arbuscular_Myc_biomass,Saprophytic%,Saprophytes_Biomass,Protozoan%,Protozoa_biomasss,gram_pos_biomass,gram_pos%,Undifferentiated%,UndifferentiatedBiomass,Fungi_Bacteria,Predator_Prey,Grampos_Gramneg,Sat_Unsat,Mono_Poly,Pre161w7ccy170,Pre181w7ccy190,2N KCl NO3-N ppm N,KCl NH4-N ppm,% Sand,% Silt,% Clay,Texture,Ace Protein g/Kg
247934,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5132,E1,E1_A ,Fall,11/27/2023,0,8,5.4,6.1,0.1,NONE,3.4,73,13,0.77,46.3,13.5,0.58,1523,249,12,18.8,47,1,40,11,0,27,4.54,116,8.2,14.15,,8,SAND PRESENT,0.3,86.8,72,13,12.05,74.8,8.2,0,8.1,2.5,,11,3,8,37,447,180,70,7.4,0.47,5.9,0.1,93,18,1506.15,1.393,45.04,678.34,11,165.67,10.27,154.75,0,0,9.2,138.59,2.11,31.76,7.09,106.83,0,0,523.6,34.76,45.76,689.21,0.2043,ALL PREY,3.3836,2.7305,21.913,1.7444,0.4892,,,26,36,38,Clay Loam,
247935,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5132,E1,E1_B ,Fall,11/27/2023,0,8,5.1,5.8,0.14,NONE,4.4,104,9.3,0.5,71.5,15.2,0.95,1921,349,15,24.7,48,1,39,12,0,22,5.97,158,15.2,10.39,,54,9,0.2,101.8,73,21.3,14.82,64.5,15.2,0,11.3,3.2,,10,1.9,8.1,46,437,167,86,5.8,0.39,5.1,0.28,103,22,1756.62,1.564,47.73,838.52,10.36,181.98,13.58,238.61,0.91,15.9,12.15,213.51,2.48,43.58,9.67,169.93,1.43,25.04,599.9,34.15,38.69,679.56,0.2546,0.0299,2.5141,2.1702,12.3882,2.0459,0.6189,,,8,48,44,Silty Clay,
247936,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.5132,E1,E1_C ,Fall,11/27/2023,0,8,5.2,5.8,0.13,NONE,4.8,95,9.9,0.71,95.5,18.9,0.84,1717,267,11,22.8,51,1,38,10,0,27,6.17,117,10.5,11.14,,46,SAND PRESENT,2.1,125.5,70,18.8,15.33,107.4,10.5,0,11.3,4.5,,12,2.1,9.9,44,458,139,97,6.5,0.56,7.1,0.13,92,19,1941.16,1.4,48.55,942.42,11.62,225.59,11.34,220.22,0,0,9.49,184.27,2.97,57.74,6.52,126.53,0,0,722.21,37.2,41.96,814.46,0.1955,ALL PREY,3.2796,2.5822,16.5708,1.9452,0.4885,,,8,52,40,Silty Clay,
247937,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5121,E1,E1_D ,Fall,11/27/2023,0,8,5.6,6.3,0.11,NONE,4,78,7.3,0.7,64,10.1,0.71,1732,295,14,18.9,40,1,46,13,0,29,7.98,118,11.6,10.17,,34,SAND PRESENT,0.9,108.1,67,20.5,14.16,91.8,11.6,0,11.1,2,,13,2.8,10.2,40,522,138,74,6.3,0.47,4.8,0.17,113,20,1930.29,1.431,46.51,897.8,11.45,220.92,11.99,231.47,0,0,9.8,189.09,3.06,59.16,6.73,129.92,0,0,666.33,34.52,43.69,843.4,0.2106,ALL PREY,2.8787,2.5375,17.5094,1.8165,0.5263,,,16,44,40,Silty Clay,
247938,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7553,39.5121,E1,E1_E ,Fall,11/27/2023,0,8,5.3,6.1,0.09,NONE,3.8,84,9.4,0.58,67.6,12.8,0.68,1566,268,12,19.1,46,1,41,12,0,25,6.27,100,8.3,12.05,,31,SAND PRESENT,0.3,103.9,66,14.8,13.13,104.1,8.3,0,10.7,2.9,,12,2.8,9.2,43,451,156,84,5.7,0.52,5.5,0.16,98,21,1594.25,1.359,50.27,801.4,12.31,196.22,11.13,177.49,0,0,8.21,130.95,2.22,35.45,5.99,95.5,0,0,623.91,39.13,41.52,661.9,0.1634,ALL PREY,3.5152,2.6359,16.5513,1.8624,0.492,,,12,44,44,Silty Clay,
247939,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.5121,E1,E1_F ,Fall,11/27/2023,0,8,5,5.7,0.1,NONE,4.7,131,10.7,1.52,85.8,32.4,1.14,1635,293,11,23.6,53,1,35,10,0,33,5.72,127,12.5,10.16,,45,SAND PRESENT,0.3,101.2,67,18.6,13.89,79.6,12.5,0,9.4,2.8,,12,2.4,9.6,55,404,154,81,5.2,0.51,7.7,0.33,93,16,2096.41,1.36,48.98,1026.8,11.51,241.29,10.64,223.12,0,0,8.76,183.69,2.17,45.54,6.59,138.16,0,0,803.67,38.34,42.26,885.92,0.1789,ALL PREY,3.6019,2.9022,16.3955,1.7105,0.4387,,,2,54,44,Silty Clay,
247940,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.511,E1,E1_G ,Fall,11/27/2023,0,8,5.6,6.4,0.13,NONE,4,92,8.7,0.63,73.6,12,0.85,2071,344,18,19.2,30,1,54,15,0,30,6.25,126,11.8,10.68,,41,10,0.1,151.9,57,18.2,17.46,121,11.8,0,10.1,2.6,,15,5,10,45,521,134,81,6.3,0.5,4.5,0.13,111,25,1753.73,1.391,49.02,859.62,12.11,212.35,11.9,208.68,0,0,8.8,154.33,2.4,42.1,6.4,112.23,0,0,650.93,37.12,42.18,739.78,0.1795,ALL PREY,3.1192,2.6946,14.2005,1.963,0.5605,,,6,52,42,Silty Clay,
247941,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7553,39.5109,E1,E1_H ,Fall,11/27/2023,0,8,5.3,6.1,0.15,NONE,4.1,126,8.1,0.95,83,15.4,0.94,2256,387,20,23.9,38,1,47,13,0,48,6.56,152,8.3,18.31,,54,11,6.1,117.5,72,20.9,15.22,77.4,8.3,0,10.2,2.4,,26,11.2,14.8,59,536,171,98,8,0.72,5.6,0.53,114,36,1925.5,1.349,47.26,909.92,11.52,221.86,10.24,197.21,0,0,7.82,150.65,1.74,33.6,6.08,117.05,0,0,712.71,37.01,44.92,864.93,0.1656,ALL PREY,3.6141,3.18,49.6663,1.7179,0.4756,,,8,48,44,Silty Clay,
247942,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.511,E1,E1_I ,Fall,11/27/2023,0,8,5.2,6,0.15,NONE,4.1,85,7.1,0.79,90.5,19.7,0.9,1529,244,12,20.1,51,1,38,10,0,36,8.66,102,6.8,15,,43,8,0.7,100.8,60,16.1,12.78,99.1,6.8,0,13.3,2.4,,14,4.7,9.3,46,466,137,86,5.5,0.55,6.9,0.23,93,18,2127.56,1.352,50.21,1068.32,11.46,243.78,10.55,224.43,0,0,8.81,187.37,2.49,52.92,6.32,134.44,0,0,843.89,39.66,40.98,871.87,0.1754,ALL PREY,3.7602,2.9411,18.4348,1.6569,0.4819,,,6,52,42,Silty Clay,
247943,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7532,39.5121,E2,E2_A,Fall,11/27/2023,0,8,4.8,5.6,0.17,NONE,3.9,130,8.4,0.84,81.3,30.1,0.98,2059,368,16,27.6,50,1,37,11,0,40,8.04,125,12.5,10,,52,22,0.7,104.4,67,21.2,14.11,83.3,12.5,0,12.5,2.7,,17,6,11,72,425,158,91,5.8,0.53,9.8,0.15,95,18,1958.74,1.391,44.89,879.22,10.32,202.2,10.66,208.88,0,0,9.76,191.24,1.9,37.29,7.86,153.95,0,0,670.34,34.22,45.35,888.29,0.2175,ALL PREY,3.2093,2.7142,17.2599,1.7312,0.4827,,,4,54,42,Silty Clay,
