Lab No,Crop 2023,Planting Method,Tillage,Soil Type,Cover Crop,Crop_Diversity,Grazing,Fertilization,Lime,Longtitude,Latitude,Field,Sample_ID,Season,Date_Rept,B_Depth,E_Depth,pH,OM%,Ca_ppm,OC_H2O_ppm,CO2
54225,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3855,S3,S3_B ,Spring,4/12/2024,0,8,7,4.8,4498,272,86.8
54226,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.671,39.3845,S3,S3_C ,Spring,4/12/2024,0,8,7.1,4.4,4353,299,101.8
54227,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3845,S3,S3_D ,Spring,4/12/2024,0,8,7,5.2,4329,307,125.5
54228,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3838,S3,S3_E,Spring,4/12/2024,0,8,6.7,4.8,4235,290,108.1
54243,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7578,39.5099,W1,W1_C ,Spring,4/12/2024,0,8,7.1,4.4,4198,292,103.9
54245,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7581,39.5089,W1,W1_E ,Spring,4/12/2024,0,8,7.1,4.5,3930,291,101.2
54248,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7591,39.5072,W1,W1_G ,Spring,4/12/2024,0,8,7,4.3,3783,302,151.9
54246,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7591,39.5079,W1,W1_F ,Spring,4/12/2024,0,8,6.7,4,3735,267,117.5
54229,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3835,S3,S3_F,Spring,4/12/2024,0,8,7,3.9,3731,297,100.8
247984,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3845,S3,S3_D ,Fall,11/27/2023,0,8,7.1,6,3658,202,104.4
54249,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7581,39.5079,W1,W1_H ,Spring,4/12/2024,0,8,7,4.2,3534,269,103.8
54244,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7591,39.5089,W1,W1_D ,Spring,4/12/2024,0,8,6.8,4,3527,304,107.8
54233,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6666,39.3855,S4,S4_C ,Spring,4/12/2024,0,8,6.6,4.5,3364,291,140.6
248005,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7591,39.5072,W1,W1_G ,Fall,11/27/2023,0,8,7.3,6,3351,195,107.8
54213,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3794,SS1,SS1_K,Spring,4/12/2024,0,8,7,3.2,3318,216,116.1
54224,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3865,S3,S3_A ,Spring,4/12/2024,0,8,6.2,3.9,3248,244,99
54200,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5076,E3,E3_G ,Spring,4/12/2024,0,8,6.3,3.6,3227,248,129.3
54242,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7588,39.5099,W1,W1_B ,Spring,4/12/2024,0,8,6.9,4.3,3211,305,108.8
54205,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6656,39.3826,SS1,SS1_C ,Spring,4/12/2024,0,8,6.2,3,3198,164,111.4
248006,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7581,39.5079,W1,W1_H ,Fall,11/27/2023,0,8,7,5.6,3191,182,119.7
54241,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7582,39.5109,W1,W1_A ,Spring,4/12/2024,0,8,7,3.7,3179,258,111.6
248002,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7591,39.5089,W1,W1_D ,Fall,11/27/2023,0,8,7,5.3,3151,185,98.1
247999,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7582,39.5109,W1,W1_A ,Fall,11/27/2023,0,8,6.8,5.3,3150,139,133.1
54211,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3805,SS1,SS1_I ,Spring,4/12/2024,0,8,7.1,3.2,3140,197,118.5
247969,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3794,SS1,SS1_K,Fall,11/27/2023,0,8,7.1,3.6,3132,151,107
247985,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3838,S3,S3_E,Fall,11/27/2023,0,8,6.7,5.7,3092,201,271.1
247967,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6642,39.3805,SS1,SS1_I ,Fall,11/27/2023,0,8,7.1,3.1,3058,130,228.4
54223,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6681,39.3865,S2,S2_J ,Spring,4/12/2024,0,8,5.9,4.1,3022,232,144
54193,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5098,E3,E3_A ,Spring,4/12/2024,0,8,5.6,3.6,2972,226,216.5
54232,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6643,39.3865,S4,S4_B ,Spring,4/12/2024,0,8,6.9,4.2,2972,265,155.1
54236,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6666,39.3845,S4,S4_F ,Spring,4/12/2024,0,8,6.7,5.7,2946,253,210.8
248003,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7581,39.5089,W1,W1_E ,Fall,11/27/2023,0,8,7.1,4.8,2925,187,195
54215,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6677,39.3895,S2,S2_B ,Spring,4/12/2024,0,8,6.3,3.4,2917,287,136.7
248001,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7578,39.5099,W1,W1_C ,Fall,11/27/2023,0,8,6.9,5.5,2906,162,198.2
54219,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6667,39.3885,S2,S2_F ,Spring,4/12/2024,0,8,5.9,3.7,2903,251,176.2
247982,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3855,S3,S3_B ,Fall,11/27/2023,0,8,6.8,5.9,2900,215,205.8
247986,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6703,39.3835,S3,S3_F,Fall,11/27/2023,0,8,7,5,2886,184,235.7
248000,"Warm season: Millet Pearl, Buckwheat sunflower, Egyptian wheat, Sorghum Sudan (3 varieties); Cold Season: Season Cereal Rye, Hairy Vetch, Winter Peas, Wheat and Barley",Drilled,No-Till,Pawnee Clay Loam (7501),Cover Crop,High Crop Diversity,Grazing,No Fertilization,,-95.7588,39.5099,W1,W1_B ,Fall,11/27/2023,0,8,6.6,5.2,2864,185,173.2
54222,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6664,39.3875,S2,S2_I ,Spring,4/12/2024,0,8,6.2,3.4,2854,251,251.7
54208,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6646,39.382,SS1,SS1_F ,Spring,4/12/2024,0,8,6.7,3.1,2847,165,296.5
54195,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5099,E3,E3_B ,Spring,4/12/2024,0,8,5.5,3.6,2826,241,277.4
54216,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6667,39.3895,S2,S2_C ,Spring,4/12/2024,0,8,6,3.9,2767,297,264.1
54212,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3795,SS1,SS1_J ,Spring,4/12/2024,0,8,6.3,2.9,2762,203,225.2
54221,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6674,39.3875,S2,S2_H,Spring,4/12/2024,0,8,6,4.1,2729,252,320.3
247981,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.67,39.3865,S3,S3_A ,Fall,11/27/2023,0,8,6.2,4.8,2723,141,147.1
54207,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3815,SS1,SS1_E ,Spring,4/12/2024,0,8,5.9,3,2718,167,237.7
247963,Corn,,Conventional Till,,No Cover Crop,Low Crop Diversity,,,,-95.6659,39.3815,SS1,SS1_E ,Fall,11/27/2023,0,8,5.7,3.2,2681,107,363.8
54201,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5076,E3,E3_H ,Spring,4/12/2024,0,8,5.7,3.8,2681,232,323.7
54235,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6645,39.3853,S4,S4_E ,Spring,4/12/2024,0,8,6.6,5.5,2627,211,311.7
247990,Corn,,No-Till,,Cover Crop,High Crop Diversity,,,,-95.6666,39.3855,S4,S4_C ,Fall,11/27/2023,0,8,6.2,4.8,2614,142,323.6
54220,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6684,39.3875,S2,S2_G ,Spring,4/12/2024,0,8,5.8,3.8,2597,221,287
